"상품군별(1)","시점",인터넷쇼핑,모바일쇼핑
"음식서비스","2019.08",59450,857555
"기타서비스","2019.08",58226,70896
"기타","2019.08",107102,96433
"컴퓨터 및 주변기기","2019.09",261053,174623
"가전·전자·통신기기","2019.09",462355,634009
"서적","2019.09",82034,65084
"사무·문구","2019.09",35372,34068
"의복","2019.09",431788,755340
"신발","2019.09",78129,122879
"가방","2019.09",54017,174824
"패션용품 및 액세서리","2019.09",65576,146480
"스포츠·레저용품","2019.09",138503,205431
"화장품","2019.09",483892,618749
"아동·유아용품","2019.09",80547,244722
"음·식료품","2019.09",410214,823544
"농축수산물","2019.09",126828,247714
"생활용품","2019.09",281795,577839
"자동차 및 자동차용품","2019.09",94800,74993
"가구","2019.09",92330,199190
"애완용품","2019.09",25333,57337
"여행 및 교통서비스","2019.09",533192,836955
"문화 및 레저서비스","2019.09",83251,83400
"이쿠폰서비스","2019.09",34358,242452
"음식서비스","2019.09",55127,799765
"기타서비스","2019.09",115446,59355
"기타","2019.09",80243,112710
"컴퓨터 및 주변기기","2019.10",274936,170182
"가전·전자·통신기기","2019.10",525905,674287
"서적","2019.10",75696,58084
"사무·문구","2019.10",38660,39956
"의복","2019.10",509999,903280
"신발","2019.10",82966,129679
"가방","2019.10",54563,180964
"패션용품 및 액세서리","2019.10",63501,142827
"스포츠·레저용품","2019.10",160646,246005
"화장품","2019.10",502379,655866
"아동·유아용품","2019.10",84728,264669
"음·식료품","2019.10",363472,827011
"농축수산물","2019.10",88826,224229
"생활용품","2019.10",291248,616337
"자동차 및 자동차용품","2019.10",42339,64363
"가구","2019.10",100944,223859
"애완용품","2019.10",25295,63472
"여행 및 교통서비스","2019.10",598342,888311
"문화 및 레저서비스","2019.10",115207,91494
"이쿠폰서비스","2019.10",35621,266750
"음식서비스","2019.10",59150,854572
"기타서비스","2019.10",63323,57826
"기타","2019.10",97450,108815
"컴퓨터 및 주변기기","2019.11",306368,221639
"가전·전자·통신기기","2019.11",568012,789341
"서적","2019.11",84329,63125
"사무·문구","2019.11",42881,42511
"의복","2019.11",592593,1117449
"신발","2019.11",97033,154452
"가방","2019.11",55558,176678
"패션용품 및 액세서리","2019.11",63314,153004
"스포츠·레저용품","2019.11",157915,259311
"화장품","2019.11",530197,680151
"아동·유아용품","2019.11",84398,277017
"음·식료품","2019.11",359235,838922
"농축수산물","2019.11",94042,231804
"생활용품","2019.11",295220,637539
"자동차 및 자동차용품","2019.11",92297,67121
"가구","2019.11",105773,223689
"애완용품","2019.11",23474,62941
"여행 및 교통서비스","2019.11",607963,889622
"문화 및 레저서비스","2019.11",88214,118599
"이쿠폰서비스","2019.11",45788,323632
"음식서비스","2019.11",61128,965853
"기타서비스","2019.11",78458,56116
"기타","2019.11",97884,109016
"컴퓨터 및 주변기기","2019.12",339917,214960
"가전·전자·통신기기","2019.12",518944,694448
"서적","2019.12",99281,79550
"사무·문구","2019.12",49822,53476
"의복","2019.12",520303,942040
"신발","2019.12",97311,134564
"가방","2019.12",57540,187674
"패션용품 및 액세서리","2019.12",69366,172999
"스포츠·레저용품","2019.12",142094,219167
"화장품","2019.12",492965,700083
"아동·유아용품","2019.12",108853,333894
"음·식료품","2019.12",376396,840785
"농축수산물","2019.12",99393,241793
"생활용품","2019.12",298547,628739
"자동차 및 자동차용품","2019.12",49755,66041
"가구","2019.12",104115,219652
"애완용품","2019.12",24735,62290
"여행 및 교통서비스","2019.12",641388,977716
"문화 및 레저서비스","2019.12",68436,116169
"이쿠폰서비스","2019.12",40531,304831
"음식서비스","2019.12",67608,991679
"기타서비스","2019.12",93809,86448
"기타","2019.12",100009,113636
"컴퓨터 및 주변기기","2020.01",332810,273459
"가전·전자·통신기기","2020.01",400922,662108
"서적","2020.01",86899,80101
"사무·문구","2020.01",43541,51694
"의복","2020.01",320897,734345
"신발","2020.01",54230,128160
"가방","2020.01",49427,123875
"패션용품 및 액세서리","2020.01",60205,168413
"스포츠·레저용품","2020.01",96056,178095
"화장품","2020.01",478871,667638
"아동·유아용품","2020.01",66459,260589
"음·식료품","2020.01",374501,981130
"농축수산물","2020.01",167765,324708
"생활용품","2020.01",262702,661379
"자동차 및 자동차용품","2020.01",69172,50140
"가구","2020.01",93010,212586
"애완용품","2020.01",26134,88118
"여행 및 교통서비스","2020.01",456795,947890
"문화 및 레저서비스","2020.01",55095,101406
"이쿠폰서비스","2020.01",36686,281833
"음식서비스","2020.01",66559,997060
"기타서비스","2020.01",75099,93172
"기타","2020.01",143693,213148
"컴퓨터 및 주변기기","2020.02",358997,315829
"가전·전자·통신기기","2020.02",494994,755756
"서적","2020.02",99913,86838
"사무·문구","2020.02",47168,60230
"의복","2020.02",301806,684362
"신발","2020.02",59053,130839
"가방","2020.02",47170,121330
"패션용품 및 액세서리","2020.02",58294,157400
"스포츠·레저용품","2020.02",98994,181914
"화장품","2020.02",431677,633853
"아동·유아용품","2020.02",78227,306687
"음·식료품","2020.02",370239,1049118
"농축수산물","2020.02",141197,339871
"생활용품","2020.02",315128,818795
"자동차 및 자동차용품","2020.02",104608,49352
"가구","2020.02",116061,259379
"애완용품","2020.02",26502,90140
"여행 및 교통서비스","2020.02",222219,462317
"문화 및 레저서비스","2020.02",23350,34409
"이쿠폰서비스","2020.02",36803,297849
"음식서비스","2020.02",69058,1066123
"기타서비스","2020.02",64288,93350
"기타","2020.02",115865,207325
"컴퓨터 및 주변기기","2020.03",401374,357883
"가전·전자·통신기기","2020.03",518520,780014
"서적","2020.03",140036,120418
"사무·문구","2020.03",47164,63087
"의복","2020.03",347668,813004
"신발","2020.03",70872,156447
"가방","2020.03",44298,104401
"패션용품 및 액세서리","2020.03",60425,161870
"스포츠·레저용품","2020.03",121914,233720
"화장품","2020.03",549437,455580
"아동·유아용품","2020.03",80931,318749
"음·식료품","2020.03",389152,1159276
"농축수산물","2020.03",134303,419899
"생활용품","2020.03",343598,893130
"자동차 및 자동차용품","2020.03",140500,56188
"가구","2020.03",130124,305747
"애완용품","2020.03",29056,97271
"여행 및 교통서비스","2020.03",101944,256114
"문화 및 레저서비스","2020.03",7023,14510
"이쿠폰서비스","2020.03",50540,310469
"음식서비스","2020.03",72457,1179839
"기타서비스","2020.03",32133,43364
"기타","2020.03",130698,193996
"컴퓨터 및 주변기기","2020.04",388215,331746
"가전·전자·통신기기","2020.04",507840,738910
"서적","2020.04",107916,96549
"사무·문구","2020.04",44459,56577
"의복","2020.04",365979,793399
"신발","2020.04",84107,151065
"가방","2020.04",43952,91601
"패션용품 및 액세서리","2020.04",57173,145300
"스포츠·레저용품","2020.04",148167,277764
"화장품","2020.04",613725,368768
"아동·유아용품","2020.04",86909,303934
"음·식료품","2020.04",373593,1060441
"농축수산물","2020.04",122577,378336
"생활용품","2020.04",316505,739491
"자동차 및 자동차용품","2020.04",67820,62142
"가구","2020.04",122267,276478
"애완용품","2020.04",30436,95985
"여행 및 교통서비스","2020.04",90801,348887
"문화 및 레저서비스","2020.04",11059,19691
"이쿠폰서비스","2020.04",41765,304803
"음식서비스","2020.04",77618,1185383
"기타서비스","2020.04",49637,75026
"기타","2020.04",105643,152835
"컴퓨터 및 주변기기","2020.05",323924,290304
"가전·전자·통신기기","2020.05",588332,927906
"서적","2020.05",94421,76383
"사무·문구","2020.05",44689,55196
"의복","2020.05",392840,896853
"신발","2020.05",83799,187358
"가방","2020.05",44929,108422
"패션용품 및 액세서리","2020.05",64231,164699
"스포츠·레저용품","2020.05",157202,317926
"화장품","2020.05",544433,418010
"아동·유아용품","2020.05",82169,312732
"음·식료품","2020.05",355963,1049983
"농축수산물","2020.05",109372,334508
"생활용품","2020.05",327283,810135
"자동차 및 자동차용품","2020.05",71543,70078
"가구","2020.05",120344,277223
"애완용품","2020.05",28951,97888
"여행 및 교통서비스","2020.05",108884,441793
"문화 및 레저서비스","2020.05",18708,34728
"이쿠폰서비스","2020.05",46904,306363
"음식서비스","2020.05",88284,1232526
"기타서비스","2020.05",37734,61255
"기타","2020.05",127079,218155
"컴퓨터 및 주변기기","2020.06",328080,256409
"가전·전자·통신기기","2020.06",553380,905941
"서적","2020.06",94184,76807
"사무·문구","2020.06",46931,52884
"의복","2020.06",396757,896447
"신발","2020.06",91971,186704
"가방","2020.06",42383,115008
"패션용품 및 액세서리","2020.06",64361,170177
"스포츠·레저용품","2020.06",157255,316252
"화장품","2020.06",603221,428728
"아동·유아용품","2020.06",75891,288216
"음·식료품","2020.06",362597,994894
"농축수산물","2020.06",127419,322496
"생활용품","2020.06",333066,811922
"자동차 및 자동차용품","2020.06",197464,70836
"가구","2020.06",117566,274706
"애완용품","2020.06",30076,98370
"여행 및 교통서비스","2020.06",117662,465106
"문화 및 레저서비스","2020.06",15397,29968
"이쿠폰서비스","2020.06",43979,278728
"음식서비스","2020.06",68439,1185053
"기타서비스","2020.06",43133,61150
"기타","2020.06",123498,186963
"컴퓨터 및 주변기기","2020.07",342726,284750
"가전·전자·통신기기","2020.07",502863,816872
"서적","2020.07",106713,86125
"사무·문구","2020.07",46632,55914
"의복","2020.07",343047,757485
"신발","2020.07",82793,161577
"가방","2020.07",49197,120113
"패션용품 및 액세서리","2020.07",68463,178097
"스포츠·레저용품","2020.07",163855,325810
"화장품","2020.07",639734,430998
"아동·유아용품","2020.07",79504,291385
"음·식료품","2020.07",392174,1104106
"농축수산물","2020.07",149236,344258
"생활용품","2020.07",331810,859709
"자동차 및 자동차용품","2020.07",93627,76341
"가구","2020.07",115979,263192
"애완용품","2020.07",31989,106231
"여행 및 교통서비스","2020.07",157901,624106
"문화 및 레저서비스","2020.07",27067,51889
"이쿠폰서비스","2020.07",54142,302087
"음식서비스","2020.07",73213,1305571
"기타서비스","2020.07",46303,68415
"기타","2020.07",124934,206960
"컴퓨터 및 주변기기","2020.08",340705,314597
"가전·전자·통신기기","2020.08",548239,987774
"서적","2020.08",111455,95394
"사무·문구","2020.08",42054,54050
"의복","2020.08",286795,647673
"신발","2020.08",61406,137508
"가방","2020.08",45372,116548
"패션용품 및 액세서리","2020.08",57366,163605
"스포츠·레저용품","2020.08",126290,278553
"화장품","2020.08",709524,426372
"아동·유아용품","2020.08",72768,293583
"음·식료품","2020.08",384112,1169716
"농축수산물","2020.08",143637,387136
"생활용품","2020.08",325816,930650
"자동차 및 자동차용품","2020.08",121090,65391
"가구","2020.08",117632,288493
"애완용품","2020.08",30187,106451
"여행 및 교통서비스","2020.08",160661,620054
"문화 및 레저서비스","2020.08",16459,42418
"이쿠폰서비스","2020.08",47782,314354
"음식서비스","2020.08",84744,1592675
"기타서비스","2020.08",62924,101375
"기타","2020.08",124467,259648
"컴퓨터 및 주변기기","2020.09",379361,332423
"가전·전자·통신기기","2020.09",462687,849047
"서적","2020.09",118997,103969
"사무·문구","2020.09",48104,60473
"의복","2020.09",360967,820640
"신발","2020.09",71103,147008
"가방","2020.09",44973,113579
"패션용품 및 액세서리","2020.09",55034,152268
"스포츠·레저용품","2020.09",141973,301788
"화장품","2020.09",662349,464762
"아동·유아용품","2020.09",81214,302623
"음·식료품","2020.09",513649,1381764
"농축수산물","2020.09",230277,552702
"생활용품","2020.09",332078,872005
"자동차 및 자동차용품","2020.09",122303,72216
"가구","2020.09",127333,316171
"애완용품","2020.09",30765,108682
"여행 및 교통서비스","2020.09",104505,441892
"문화 및 레저서비스","2020.09",12061,28739
"이쿠폰서비스","2020.09",52527,359792
"음식서비스","2020.09",74261,1529963
"기타서비스","2020.09",76210,66232
"기타","2020.09",117424,219809
"컴퓨터 및 주변기기","2020.10",339603,276244
"가전·전자·통신기기","2020.10",547418,987672
"서적","2020.10",93412,79229
"사무·문구","2020.10",51390,64019
"의복","2020.10",479629,1152610
"신발","2020.10",79053,181125
"가방","2020.10",44855,119455
"패션용품 및 액세서리","2020.10",54693,158977
"스포츠·레저용품","2020.10",175550,369391
"화장품","2020.10",616397,465530
"아동·유아용품","2020.10",82228,306298
"음·식료품","2020.10",397875,1156920
"농축수산물","2020.10",133262,400662
"생활용품","2020.10",310590,832138
"자동차 및 자동차용품","2020.10",86151,69949
"가구","2020.10",128626,318062
"애완용품","2020.10",32149,112108
"여행 및 교통서비스","2020.10",146471,532341
"문화 및 레저서비스","2020.10",29574,49254
"이쿠폰서비스","2020.10",52542,319384
"음식서비스","2020.10",68510,1478372
"기타서비스","2020.10",96795,64267
"기타","2020.10",128928,187170
"컴퓨터 및 주변기기","2020.11",394626,341688
"가전·전자·통신기기","2020.11",663471,1161320
"서적","2020.11",102210,84424
"사무·문구","2020.11",57251,71347
"의복","2020.11",552723,1219551
"신발","2020.11",109037,203835
"가방","2020.11",49657,117055
"패션용품 및 액세서리","2020.11",63378,174057
"스포츠·레저용품","2020.11",179696,352986
"화장품","2020.11",672859,509814
"아동·유아용품","2020.11",92322,304863
"음·식료품","2020.11",435169,1220170
"농축수산물","2020.11",149928,410631
"생활용품","2020.11",329747,850550
"자동차 및 자동차용품","2020.11",122181,92106
"가구","2020.11",131046,312666
"애완용품","2020.11",33422,112179
"여행 및 교통서비스","2020.11",149213,535226
"문화 및 레저서비스","2020.11",30474,38903
"이쿠폰서비스","2020.11",55372,361986
"음식서비스","2020.11",70275,1572953
"기타서비스","2020.11",55002,79680
"기타","2020.11",138622,212611
"컴퓨터 및 주변기기","2020.12",499998,415380
"가전·전자·통신기기","2020.12",611410,1105244
"서적","2020.12",137150,119235
"사무·문구","2020.12",71186,101731
"의복","2020.12",466430,1066008
"신발","2020.12",83488,187901
"가방","2020.12",45691,112718
"패션용품 및 액세서리","2020.12",71753,213314
"스포츠·레저용품","2020.12",154353,313710
"화장품","2020.12",589316,558970
"아동·유아용품","2020.12",112654,406934
"음·식료품","2020.12",477547,1401871
"농축수산물","2020.12",188939,548078
"생활용품","2020.12",371859,972945
"자동차 및 자동차용품","2020.12",104771,88935
"가구","2020.12",143312,344516
"애완용품","2020.12",35220,125510
"여행 및 교통서비스","2020.12",90366,379276
"문화 및 레저서비스","2020.12",3484,3959
"이쿠폰서비스","2020.12",54688,483801
"음식서비스","2020.12",87035,2111121
"기타서비스","2020.12",68685,75082
"기타","2020.12",149869,216693
"컴퓨터 및 주변기기","2021.01",439730,446647
"가전·전자·통신기기","2021.01",610054,1137541
"서적","2021.01",133659,125811
"사무·문구","2021.01",52933,78502
"의복","2021.01",304546,820338
"신발","2021.01",64255,141920
"가방","2021.01",41189,114752
"패션용품 및 액세서리","2021.01",58365,183152
"스포츠·레저용품","2021.01",112062,246233
"화장품","2021.01",613312,534439
"아동·유아용품","2021.01",76331,320975
"음·식료품","2021.01",495902,1486056
"농축수산물","2021.01",194477,612173
"생활용품","2021.01",321382,937168
"자동차 및 자동차용품","2021.01",68962,75232
"가구","2021.01",128857,345018
"애완용품","2021.01",32380,125863
"여행 및 교통서비스","2021.01",89120,407448
"문화 및 레저서비스","2021.01",10302,18727
"이쿠폰서비스","2021.01",55347,418651
"음식서비스","2021.01",67562,1988503
"기타서비스","2021.01",79824,99107
"기타","2021.01",104395,186190
"컴퓨터 및 주변기기","2021.02",413960,435721
"가전·전자·통신기기","2021.02",512864,981223
"서적","2021.02",119527,100736
"사무·문구","2021.02",48524,71327
"의복","2021.02",257536,774700
"신발","2021.02",70186,154038
"가방","2021.02",46304,127529
"패션용품 및 액세서리","2021.02",53788,168729
"스포츠·레저용품","2021.02",97819,227289
"화장품","2021.02",471420,495492
"아동·유아용품","2021.02",70929,295361
"음·식료품","2021.02",440637,1300842
"농축수산물","2021.02",179807,522842
"생활용품","2021.02",290631,827468
"자동차 및 자동차용품","2021.02",95979,65518
"가구","2021.02",115346,319350
"애완용품","2021.02",28542,109777
"여행 및 교통서비스","2021.02",117466,452203
"문화 및 레저서비스","2021.02",25595,43253
"이쿠폰서비스","2021.02",51311,439535
"음식서비스","2021.02",60117,1792081
"기타서비스","2021.02",74512,107192
"기타","2021.02",113062,172094
"컴퓨터 및 주변기기","2021.03",448924,422166
"가전·전자·통신기기","2021.03",612790,1052288
"서적","2021.03",144243,125426
"사무·문구","2021.03",59592,79747
"의복","2021.03",381946,1112270
"신발","2021.03",97134,217147
"가방","2021.03",55776,147292
"패션용품 및 액세서리","2021.03",65928,200804
"스포츠·레저용품","2021.03",137008,312403
"화장품","2021.03",565467,546232
"아동·유아용품","2021.03",81193,336271
"음·식료품","2021.03",457032,1383329
"농축수산물","2021.03",149084,497057
"생활용품","2021.03",335114,939547
"자동차 및 자동차용품","2021.03",284379,74510
"가구","2021.03",136085,361103
"애완용품","2021.03",33127,125099
"여행 및 교통서비스","2021.03",126601,485713
"문화 및 레저서비스","2021.03",28824,49044
"이쿠폰서비스","2021.03",63979,434759
"음식서비스","2021.03",59810,1938450
"기타서비스","2021.03",113918,156626
"기타","2021.03",146572,227810
"컴퓨터 및 주변기기","2021.04",385886,346865
"가전·전자·통신기기","2021.04",546939,976497
"서적","2021.04",101344,90343
"사무·문구","2021.04",56309,73990
"의복","2021.04",389865,1048461
"신발","2021.04",92165,192141
"가방","2021.04",52194,141248
"패션용품 및 액세서리","2021.04",65080,203673
"스포츠·레저용품","2021.04",152182,357786
"화장품","2021.04",546303,549965
"아동·유아용품","2021.04",85608,343044
"음·식료품","2021.04",456317,1366920
"농축수산물","2021.04",140637,488527
"생활용품","2021.04",320261,903636
"자동차 및 자동차용품","2021.04",108441,85223
"가구","2021.04",121451,321435
"애완용품","2021.04",32268,123666
"여행 및 교통서비스","2021.04",161947,528860
"문화 및 레저서비스","2021.04",28977,47084
"이쿠폰서비스","2021.04",48575,407104
"음식서비스","2021.04",53982,1955642
"기타서비스","2021.04",63613,87393
"기타","2021.04",107097,193630
"컴퓨터 및 주변기기","2021.05",358402,370299
"가전·전자·통신기기","2021.05",575594,1118449
"서적","2021.05",100641,87594
"사무·문구","2021.05",49104,67085
"의복","2021.05",356514,1048361
"신발","2021.05",106967,210579
"가방","2021.05",51301,141501
"패션용품 및 액세서리","2021.05",67050,216211
"스포츠·레저용품","2021.05",143349,360360
"화장품","2021.05",627130,571895
"아동·유아용품","2021.05",78558,346705
"음·식료품","2021.05",464656,1409129
"농축수산물","2021.05",141927,502347
"생활용품","2021.05",326245,942760
"자동차 및 자동차용품","2021.05",319303,88169
"가구","2021.05",116616,317959
"애완용품","2021.05",31206,127480
"여행 및 교통서비스","2021.05",177072,594368
"문화 및 레저서비스","2021.05",32716,57727
"이쿠폰서비스","2021.05",54538,454885
"음식서비스","2021.05",57461,2131344
"기타서비스","2021.05",58345,105388
"기타","2021.05",105681,206864
"컴퓨터 및 주변기기","2021.06",358087,305492
"가전·전자·통신기기","2021.06",563485,1072052
"서적","2021.06",93793,87146
"사무·문구","2021.06",49442,64297
"의복","2021.06",364538,1052065
"신발","2021.06",115114,207522
"가방","2021.06",49554,132256
"패션용품 및 액세서리","2021.06",64848,204053
"스포츠·레저용품","2021.06",144128,348949
"화장품","2021.06",537069,559705
"아동·유아용품","2021.06",71013,308446
"음·식료품","2021.06",455613,1333242
"농축수산물","2021.06",139790,472559
"생활용품","2021.06",326374,928866
"자동차 및 자동차용품","2021.06",446434,87211
"가구","2021.06",121642,307447
"애완용품","2021.06",31730,127728
"여행 및 교통서비스","2021.06",178431,610876
"문화 및 레저서비스","2021.06",43239,71117
"이쿠폰서비스","2021.06",59267,437167
"음식서비스","2021.06",51466,1968130
"기타서비스","2021.06",74630,119724
"기타","2021.06",112787,161439
"컴퓨터 및 주변기기","2021.07",398976,352086
"가전·전자·통신기기","2021.07",658089,1256457
"서적","2021.07",111844,110827
"사무·문구","2021.07",46240,63807
"의복","2021.07",334011,964134
"신발","2021.07",88639,184402
"가방","2021.07",52386,138249
"패션용품 및 액세서리","2021.07",67930,213192
"스포츠·레저용품","2021.07",150412,362127
"화장품","2021.07",494430,558236
"아동·유아용품","2021.07",73392,325984
"음·식료품","2021.07",479811,1423395
"농축수산물","2021.07",146884,503524
"생활용품","2021.07",333481,980315
"자동차 및 자동차용품","2021.07",100515,83810
"가구","2021.07",117128,308786
"애완용품","2021.07",32936,132206
"여행 및 교통서비스","2021.07",188267,600927
"문화 및 레저서비스","2021.07",29270,51373
"이쿠폰서비스","2021.07",57813,441532
"음식서비스","2021.07",59661,2358398
"기타서비스","2021.07",80773,126896
"기타","2021.07",115173,168530
"컴퓨터 및 주변기기","2021.08",405435,368794
"가전·전자·통신기기","2021.08",576436,1088677
"서적","2021.08",114727,103920
"사무·문구","2021.08",47181,66240
"의복","2021.08",267773,809471
"신발","2021.08",84567,151193
"가방","2021.08",50221,142457
"패션용품 및 액세서리","2021.08",61175,199902
"스포츠·레저용품","2021.08",131717,333080
"화장품","2021.08",389978,584729
"아동·유아용품","2021.08",68068,306917
"음·식료품","2021.08",503976,1478414
"농축수산물","2021.08",159061,547387
"생활용품","2021.08",321971,968416
"자동차 및 자동차용품","2021.08",228381,80481
"가구","2021.08",115256,312611
"애완용품","2021.08",33839,136135
"여행 및 교통서비스","2021.08",188488,599501
"문화 및 레저서비스","2021.08",31005,59352
"이쿠폰서비스","2021.08",54536,440147
"음식서비스","2021.08",58061,2397833
"기타서비스","2021.08",76718,126660
"기타","2021.08",99717,162871
"컴퓨터 및 주변기기","2021.09",361370,374921
"가전·전자·통신기기","2021.09",514785,1056165
"서적","2021.09",103560,103509
"사무·문구","2021.09",48154,69751
"의복","2021.09",332776,1032435
"신발","2021.09",75751,179030
"가방","2021.09",51795,154486
"패션용품 및 액세서리","2021.09",59593,200968
"스포츠·레저용품","2021.09",138450,366115
"화장품","2021.09",464003,597985
"아동·유아용품","2021.09",67934,312007
"음·식료품","2021.09",526388,1553671
"농축수산물","2021.09",222442,625561
"생활용품","2021.09",312739,965710
"자동차 및 자동차용품","2021.09",264858,92873
"가구","2021.09",107186,313366
"애완용품","2021.09",30591,134647
"여행 및 교통서비스","2021.09",179342,580426
"문화 및 레저서비스","2021.09",30655,58155
"이쿠폰서비스","2021.09",50971,493702
"음식서비스","2021.09",59192,2171862
"기타서비스","2021.09",125469,99451
"기타","2021.09",93084,168609
"컴퓨터 및 주변기기","2021.10",389970,339560
"가전·전자·통신기기","2021.10",661197,1363174
"서적","2021.10",95322,88181
"사무·문구","2021.10",56823,80771
"의복","2021.10",448603,1381096
"신발","2021.10",84947,216769
"가방","2021.10",56886,169479
"패션용품 및 액세서리","2021.10",68668,218128
"스포츠·레저용품","2021.10",165433,418581
"화장품","2021.10",461829,567877
"아동·유아용품","2021.10",78388,328891
"음·식료품","2021.10",482799,1419084
"농축수산물","2021.10",152114,499052
"생활용품","2021.10",340251,986740
"자동차 및 자동차용품","2021.10",108271,116331
"가구","2021.10",119614,332330
"애완용품","2021.10",35561,139547
"여행 및 교통서비스","2021.10",204380,685194
"문화 및 레저서비스","2021.10",52466,80569
"이쿠폰서비스","2021.10",44770,419604
"음식서비스","2021.10",55321,2252435
"기타서비스","2021.10",58273,83875
"기타","2021.10",99223,177575
"컴퓨터 및 주변기기","2021.11",440303,392196
"가전·전자·통신기기","2021.11",645257,1354614
"서적","2021.11",115785,91145
"사무·문구","2021.11",64673,85887
"의복","2021.11",499606,1497011
"신발","2021.11",109030,231196
"가방","2021.11",54094,172108
"패션용품 및 액세서리","2021.11",69922,234976
"스포츠·레저용품","2021.11",160537,380733
"화장품","2021.11",486791,632985
"아동·유아용품","2021.11",83407,336712
"음·식료품","2021.11",478960,1456011
"농축수산물","2021.11",148841,509742
"생활용품","2021.11",353966,982339
"자동차 및 자동차용품","2021.11",230004,150745
"가구","2021.11",124021,329856
"애완용품","2021.11",35331,139082
"여행 및 교통서비스","2021.11",251920,729359
"문화 및 레저서비스","2021.11",71001,102314
"이쿠폰서비스","2021.11",47554,476000
"음식서비스","2021.11",45502,2078946
"기타서비스","2021.11",57437,79172
"기타","2021.11",100528,180459
"컴퓨터 및 주변기기","2021.12",504938,456349
"가전·전자·통신기기","2021.12",637081,1122314
"서적","2021.12",133369,125025
"사무·문구","2021.12",78030,115831
"의복","2021.12",468695,1427194
"신발","2021.12",103716,238136
"가방","2021.12",57408,174362
"패션용품 및 액세서리","2021.12",83741,289910
"스포츠·레저용품","2021.12",153219,351557
"화장품","2021.12",306741,713159
"아동·유아용품","2021.12",110133,434761
"음·식료품","2021.12",502045,1559974
"농축수산물","2021.12",173067,604487
"생활용품","2021.12",362958,1082015
"자동차 및 자동차용품","2021.12",131942,154444
"가구","2021.12",128053,351067
"애완용품","2021.12",34234,149873
"여행 및 교통서비스","2021.12",223718,743506
"문화 및 레저서비스","2021.12",48321,85616
"이쿠폰서비스","2021.12",65821,582129
"음식서비스","2021.12",54361,2443537
"기타서비스","2021.12",65805,85589
"기타","2021.12",118920,211181
"컴퓨터 및 주변기기","2022.01",426178,430931
"가전·전자·통신기기","2022.01",539706,1107412
"서적","2022.01",114031,127859
"사무·문구","2022.01",53015,87726
"의복","2022.01",306188,1087342
"신발","2022.01",85092,178252
"가방","2022.01",53407,175174
"패션용품 및 액세서리","2022.01",67246,250566
"스포츠·레저용품","2022.01",113382,278711
"화장품","2022.01",255987,670680
"아동·유아용품","2022.01",69713,323126
"음·식료품","2022.01",594975,1728280
"농축수산물","2022.01",261257,771826
"생활용품","2022.01",332363,1019285
"자동차 및 자동차용품","2022.01",123132,127192
"가구","2022.01",116648,326519
"애완용품","2022.01",33967,143573
"여행 및 교통서비스","2022.01",208205,725726
"문화 및 레저서비스","2022.01",47342,76091
"이쿠폰서비스","2022.01",78296,551865
"음식서비스","2022.01",51266,2380060
"기타서비스","2022.01",81181,87128
"기타","2022.01",82200,197502
"컴퓨터 및 주변기기","2022.02",442616,501035
"가전·전자·통신기기","2022.02",599163,1202958
"서적","2022.02",114110,114715
"사무·문구","2022.02",49244,89158
"의복","2022.02",275368,974648
"신발","2022.02",74423,179964
"가방","2022.02",52920,174941
"패션용품 및 액세서리","2022.02",59381,233617
"스포츠·레저용품","2022.02",102563,264779
"화장품","2022.02",256221,652404
"아동·유아용품","2022.02",60981,328266
"음·식료품","2022.02",432862,1531303
"농축수산물","2022.02",126714,539118
"생활용품","2022.02",294805,1038365
"자동차 및 자동차용품","2022.02",126594,113485
"가구","2022.02",117502,353892
"애완용품","2022.02",27694,140951
"여행 및 교통서비스","2022.02",186689,594503
"문화 및 레저서비스","2022.02",35905,51164
"이쿠폰서비스","2022.02",73667,488378
"음식서비스","2022.02",49522,2232203
"기타서비스","2022.02",76792,102439
"기타","2022.02",79891,209689
"컴퓨터 및 주변기기","2022.03",436962,458719
"가전·전자·통신기기","2022.03",603523,1058191
"서적","2022.03",145116,143502
"사무·문구","2022.03",55828,94881
"의복","2022.03",373144,1298140
"신발","2022.03",98582,228639
"가방","2022.03",57806,185217
"패션용품 및 액세서리","2022.03",61137,240092
"스포츠·레저용품","2022.03",129675,348021
"화장품","2022.03",310786,691877
"아동·유아용품","2022.03",74069,367994
"음·식료품","2022.03",527640,1751207
"농축수산물","2022.03",194883,624681
"생활용품","2022.03",333853,1125872
"자동차 및 자동차용품","2022.03",299900,129400
"가구","2022.03",119727,359164
"애완용품","2022.03",30318,157424
"여행 및 교통서비스","2022.03",255814,665783
"문화 및 레저서비스","2022.03",52496,60789
"이쿠폰서비스","2022.03",83337,517998
"음식서비스","2022.03",49492,2372920
"기타서비스","2022.03",86749,115878
"기타","2022.03",88502,215750
"컴퓨터 및 주변기기","2022.04",361297,355706
"가전·전자·통신기기","2022.04",556310,998166
"서적","2022.04",107657,102511
"사무·문구","2022.04",56128,89084
"의복","2022.04",406268,1362360
"신발","2022.04",100280,239787
"가방","2022.04",56447,170782
"패션용품 및 액세서리","2022.04",62245,235161
"스포츠·레저용품","2022.04",146358,401785
"화장품","2022.04",272809,641235
"아동·유아용품","2022.04",85998,383055
"음·식료품","2022.04",512501,1619753
"농축수산물","2022.04",181503,559539
"생활용품","2022.04",315631,1022591
